Description,Amount,Date
Adornos,7767,2018-50-23 09:50:06
Comida,3093,2018-50-22 09:50:06
Deporte,8131,2018-50-22 09:50:06
Deporte,2421,2018-50-23 09:50:06
Comida,262,2018-50-23 09:50:06
Musica,4473,2018-50-18 09:50:06
Adornos,5882,2018-50-23 09:50:06
Deporte,7800,2018-50-24 09:50:06
Comida,9010,2019-50-25 09:50:06
Musica,5174,2018-50-22 09:50:06
Deporte,3533,2018-50-23 09:50:06
Musica,3861,2018-50-22 09:50:06
Musica,8148,2018-50-23 09:50:06
Deporte,9658,2019-50-25 09:50:06
Deporte,2179,2018-50-23 09:50:06
Comida,1907,2018-50-21 09:50:06
Adornos,6644,2018-50-22 09:50:06
Comida,7693,2018-50-18 09:50:06
Adornos,9231,2018-50-25 09:50:06
Adornos,4695,2018-50-21 09:50:06
Musica,8652,2018-50-25 09:50:06
Adornos,2533,2018-50-25 09:50:06
Deporte,1110,2018-50-23 09:50:06
Adornos,7755,2018-50-23 09:50:06
Deporte,9604,2018-50-22 09:50:06
Adornos,9862,2018-50-25 09:50:06
Deporte,9440,2018-50-22 09:50:06
Adornos,1743,2018-50-24 09:50:06
Adornos,6219,2018-50-25 09:50:06
Musica,8851,2018-50-21 09:50:06
Adornos,7670,2019-50-25 09:50:06
Adornos,6337,2018-50-21 09:50:06
Deporte,6854,2019-50-25 09:50:06
Musica,6559,2018-50-22 09:50:06
Comida,5957,2018-50-25 09:50:06
Deporte,594,2018-50-23 09:50:06
Deporte,9328,2018-50-22 09:50:06
Deporte,7012,2018-50-22 09:50:06
Musica,5066,2018-50-21 09:50:06
Deporte,3298,2018-50-23 09:50:06
Comida,5150,2019-50-25 09:50:06
Adornos,4044,2018-50-23 09:50:06
Adornos,7113,2018-50-22 09:50:06
Comida,4484,2019-50-25 09:50:06
Adornos,4594,2018-50-22 09:50:06
Musica,3909,2018-50-21 09:50:06
Adornos,3491,2019-50-25 09:50:06
Musica,5629,2018-50-23 09:50:06
Adornos,4907,2018-50-23 09:50:06
Musica,4865,2018-50-24 09:50:06
Adornos,5797,2018-50-23 09:50:06
Deporte,1763,2018-50-24 09:50:06
Comida,1375,2018-50-21 09:50:06
Adornos,4630,2018-50-22 09:50:06
Comida,1519,2018-50-22 09:50:06
Deporte,7293,2018-50-22 09:50:06
Adornos,3851,2018-50-22 09:50:06
Adornos,7435,2018-50-23 09:50:06
Musica,4660,2018-50-21 09:50:06
Comida,499,2018-50-25 09:50:06
Comida,5126,2018-50-18 09:50:06
Deporte,6838,2018-50-22 09:50:06
Adornos,3647,2019-50-25 09:50:06
Musica,8818,2018-50-22 09:50:06
Musica,1802,2018-50-22 09:50:06
Adornos,8757,2018-50-21 09:50:06
Adornos,614,2018-50-22 09:50:06
Comida,2801,2018-50-24 09:50:06
Musica,7979,2018-50-25 09:50:06
Deporte,4652,2018-50-23 09:50:06
Adornos,2364,2018-50-22 09:50:06
Deporte,9238,2018-50-23 09:50:06
Musica,2239,2018-50-21 09:50:06
Adornos,1312,2018-50-24 09:50:06
Adornos,1581,2018-50-23 09:50:06
Adornos,2066,2018-50-23 09:50:06
Comida,8233,2018-50-25 09:50:06
Musica,9083,2018-50-22 09:50:06
Deporte,3902,2018-50-24 09:50:06
Deporte,354,2018-50-22 09:50:06
Deporte,8728,2018-50-21 09:50:06
Adornos,7066,2018-50-24 09:50:06
Adornos,2463,2018-50-23 09:50:06
Adornos,9600,2018-50-23 09:50:06
Adornos,3672,2019-50-25 09:50:06
Adornos,5489,2018-50-22 09:50:06
Deporte,1117,2019-50-25 09:50:06
Deporte,5673,2018-50-24 09:50:06
Deporte,6909,2018-50-23 09:50:06
Deporte,5925,2018-50-22 09:50:06
Musica,8132,2018-50-25 09:50:06
Musica,742,2018-50-23 09:50:06
Musica,5062,2018-50-21 09:50:06
Comida,8569,2018-50-23 09:50:06
Musica,7303,2018-50-25 09:50:06
Musica,922,2018-50-23 09:50:06
Adornos,4393,2019-50-25 09:50:06
Comida,4573,2018-50-22 09:50:06
Deporte,5663,2018-50-24 09:50:06
Comida,9713,2018-50-21 09:50:06
Adornos,9775,2018-50-22 09:50:06
Deporte,1712,2019-50-25 09:50:06
Deporte,9825,2019-50-25 09:50:06
Deporte,1066,2018-50-22 09:50:06
Deporte,5397,2018-50-18 09:50:06
Adornos,8970,2018-50-24 09:50:06
Comida,8264,2018-50-22 09:50:06
Deporte,946,2018-50-21 09:50:06
Musica,6661,2018-50-23 09:50:06
Comida,5356,2018-50-23 09:50:06
Musica,1940,2018-50-24 09:50:06
Deporte,7164,2018-50-23 09:50:06
Comida,7324,2018-50-22 09:50:06
Comida,2868,2018-50-24 09:50:06
Adornos,8767,2018-50-18 09:50:06
Musica,8501,2018-50-22 09:50:06
Musica,6557,2018-50-25 09:50:06
Comida,6729,2018-50-21 09:50:06
Adornos,6137,2018-50-21 09:50:06
Comida,3942,2018-50-21 09:50:06
Musica,9966,2019-50-25 09:50:06
Deporte,7504,2018-50-23 09:50:06
Adornos,9691,2018-50-22 09:50:06
Adornos,7937,2018-50-18 09:50:06
Deporte,6202,2018-50-23 09:50:06
Comida,591,2018-50-25 09:50:06
Musica,4801,2018-50-23 09:50:06
Deporte,3379,2019-50-25 09:50:06
Musica,788,2018-50-22 09:50:06
Comida,3063,2019-50-25 09:50:06
Musica,2388,2019-50-25 09:50:06
Musica,7314,2018-50-22 09:50:06
Comida,3695,2018-50-23 09:50:06
Musica,6973,2018-50-25 09:50:06
Comida,3401,2018-50-18 09:50:06
Deporte,3414,2018-50-24 09:50:06
Musica,1025,2018-50-23 09:50:06
Musica,9819,2019-50-25 09:50:06
Musica,7836,2019-50-25 09:50:06
Adornos,4852,2019-50-25 09:50:06
Musica,7927,2018-50-25 09:50:06
Comida,3699,2018-50-21 09:50:06
Comida,8357,2018-50-22 09:50:06
Adornos,641,2018-50-24 09:50:06
Comida,2385,2018-50-22 09:50:06
Adornos,5603,2018-50-21 09:50:06
Comida,7030,2019-50-25 09:50:06
Adornos,7849,2018-50-18 09:50:06
Musica,6658,2018-50-21 09:50:06
Musica,1047,2018-50-23 09:50:06
Musica,1212,2019-50-25 09:50:06
Adornos,346,2018-50-22 09:50:06
Adornos,2857,2018-50-21 09:50:06
Musica,2249,2018-50-22 09:50:06
Deporte,7204,2018-50-24 09:50:06
Musica,2954,2018-50-23 09:50:06
Musica,8939,2018-50-21 09:50:06
Comida,3254,2018-50-22 09:50:06
Deporte,3147,2018-50-23 09:50:06
Comida,9284,2019-50-25 09:50:06
Adornos,6059,2018-50-21 09:50:06
Adornos,2226,2018-50-23 09:50:06
Musica,7464,2018-50-23 09:50:06
Musica,8042,2019-50-25 09:50:06
Musica,2777,2019-50-25 09:50:06
Deporte,9997,2019-50-25 09:50:06
Comida,9489,2018-50-23 09:50:06
Musica,9023,2018-50-23 09:50:06
Musica,9478,2018-50-23 09:50:06
Comida,4649,2018-50-23 09:50:06
Musica,6132,2018-50-23 09:50:06
Musica,1729,2019-50-25 09:50:06
Musica,8113,2018-50-23 09:50:06
Musica,5495,2018-50-22 09:50:06
Adornos,2104,2018-50-24 09:50:06
Adornos,9101,2018-50-23 09:50:06
Musica,9383,2018-50-25 09:50:06
Adornos,4626,2018-50-24 09:50:06
Adornos,6416,2018-50-23 09:50:06
Musica,4338,2018-50-24 09:50:06
Adornos,1651,2018-50-18 09:50:06
Adornos,4223,2018-50-23 09:50:06
Deporte,2504,2018-50-23 09:50:06
Deporte,4550,2018-50-23 09:50:06
Adornos,3210,2018-50-23 09:50:06
Deporte,1697,2018-50-24 09:50:06
Adornos,9269,2018-50-23 09:50:06
Comida,2392,2018-50-22 09:50:06
Musica,7458,2018-50-22 09:50:06
Comida,6820,2018-50-22 09:50:06
Comida,2260,2018-50-24 09:50:06
Adornos,1417,2018-50-23 09:50:06
Musica,2368,2018-50-24 09:50:06
Comida,5859,2018-50-25 09:50:06
Adornos,4499,2019-50-25 09:50:06
Deporte,5296,2018-50-25 09:50:06
Deporte,6133,2018-50-25 09:50:06
Comida,9429,2018-50-22 09:50:06
Deporte,5839,2018-50-22 09:50:06
Comida,9057,2018-50-25 09:50:06
Musica,1590,2018-50-18 09:50:06
Musica,2478,2019-50-25 09:50:06
Comida,3431,2018-50-22 09:50:06
Adornos,549,2018-50-18 09:50:06
Comida,993,2018-50-23 09:50:06
Adornos,4227,2018-50-23 09:50:06
Deporte,7601,2018-50-24 09:50:06
Deporte,9386,2018-50-21 09:50:06
Musica,1943,2018-50-21 09:50:06
Deporte,8156,2018-50-23 09:50:06
Comida,454,2018-50-18 09:50:06
Musica,2071,2018-50-23 09:50:06
Comida,7956,2018-50-21 09:50:06
Deporte,509,2018-50-18 09:50:06
Adornos,4400,2018-50-23 09:50:06
Adornos,4838,2018-50-21 09:50:06
Adornos,8875,2018-50-18 09:50:06
Musica,5580,2018-50-25 09:50:06
Musica,786,2019-50-25 09:50:06
Comida,2565,2018-50-18 09:50:06
Adornos,5581,2018-50-23 09:50:06
Deporte,9037,2018-50-24 09:50:06
Comida,9111,2019-50-25 09:50:06
Deporte,1736,2018-50-21 09:50:06
Musica,8347,2018-50-18 09:50:06
Adornos,3279,2018-50-23 09:50:06
Comida,6746,2018-50-21 09:50:06
Musica,9628,2018-50-18 09:50:06
Deporte,3035,2018-50-24 09:50:06
Comida,4169,2018-50-23 09:50:06
Comida,3146,2018-50-21 09:50:06
Comida,6087,2018-50-24 09:50:06
Deporte,5796,2018-50-25 09:50:06
Adornos,3375,2018-50-22 09:50:06
Deporte,5817,2018-50-23 09:50:06
Adornos,1286,2018-50-23 09:50:06
Adornos,9969,2018-50-22 09:50:06
Musica,9449,2018-50-21 09:50:06
Deporte,6153,2019-50-25 09:50:06
Deporte,2356,2018-50-25 09:50:06
Comida,7208,2018-50-22 09:50:06
Musica,9385,2018-50-23 09:50:06
Adornos,6248,2018-50-23 09:50:06
Deporte,5435,2018-50-24 09:50:06
Deporte,1715,2018-50-23 09:50:06
Deporte,9290,2018-50-25 09:50:06
Adornos,7891,2018-50-22 09:50:06
Musica,7082,2018-50-23 09:50:06
Musica,2312,2018-50-25 09:50:06
Deporte,725,2018-50-18 09:50:06
Adornos,106,2018-50-21 09:50:06
Musica,5174,2018-50-23 09:50:06
Adornos,5388,2018-50-18 09:50:06
Adornos,5697,2018-50-24 09:50:06
Deporte,4844,2018-50-22 09:50:06
Adornos,4537,2018-50-25 09:50:06
Comida,2430,2018-50-22 09:50:06
Musica,1027,2018-50-22 09:50:06
Musica,3498,2018-50-23 09:50:06
Musica,8197,2019-50-25 09:50:06
Adornos,9188,2018-50-24 09:50:06
Adornos,6820,2018-50-22 09:50:06
Adornos,410,2018-50-25 09:50:06
Adornos,9750,2018-50-18 09:50:06
Musica,9809,2018-50-25 09:50:06
Deporte,3553,2018-50-22 09:50:06
Adornos,9311,2018-50-24 09:50:06
Musica,6981,2018-50-22 09:50:06
Comida,3671,2018-50-21 09:50:06
Musica,3925,2018-50-23 09:50:06
Musica,8267,2018-50-23 09:50:06
Deporte,1733,2018-50-24 09:50:06
Comida,5661,2018-50-23 09:50:06
Comida,4571,2018-50-21 09:50:06
Deporte,7146,2018-50-21 09:50:06
Comida,4551,2018-50-18 09:50:06
Musica,851,2018-50-23 09:50:06
Musica,5718,2018-50-23 09:50:06
Adornos,1921,2018-50-25 09:50:06
Comida,6890,2018-50-24 09:50:06
Adornos,6981,2018-50-21 09:50:06
Deporte,2047,2018-50-21 09:50:06
Musica,9750,2018-50-24 09:50:06
Musica,5851,2018-50-24 09:50:06
Musica,8212,2018-50-21 09:50:06
Adornos,3466,2018-50-21 09:50:06
Deporte,3475,2018-50-25 09:50:06
Musica,1197,2018-50-23 09:50:06
Deporte,7078,2018-50-22 09:50:06
Adornos,7545,2018-50-22 09:50:06
Deporte,7954,2018-50-23 09:50:06
Deporte,5916,2018-50-22 09:50:06
Adornos,6458,2018-50-24 09:50:06
Musica,211,2018-50-22 09:50:06
Deporte,2175,2018-50-23 09:50:06
Comida,5179,2018-50-18 09:50:06
Comida,3387,2018-50-21 09:50:06
Adornos,2939,2018-50-23 09:50:06
Deporte,6283,2018-50-22 09:50:06
Musica,8561,2018-50-21 09:50:06
Adornos,2150,2018-50-22 09:50:06
Musica,2248,2018-50-25 09:50:06
Deporte,9633,2018-50-23 09:50:06
Comida,5628,2018-50-24 09:50:06
Comida,1738,2018-50-23 09:50:06
Deporte,3701,2018-50-23 09:50:06
Musica,6804,2018-50-25 09:50:06
Musica,2801,2018-50-22 09:50:06
Musica,1084,2018-50-23 09:50:06
Deporte,2223,2018-50-25 09:50:06
Adornos,6615,2018-50-25 09:50:06
Deporte,3827,2018-50-24 09:50:06
Deporte,7575,2018-50-25 09:50:06
Musica,6900,2018-50-25 09:50:06
Deporte,9208,2018-50-22 09:50:06
Adornos,4976,2019-50-25 09:50:06
Adornos,8208,2019-50-25 09:50:06
Comida,5488,2018-50-23 09:50:06
Adornos,4154,2018-50-23 09:50:06
Deporte,7390,2018-50-21 09:50:06
Musica,7168,2018-50-21 09:50:06
Adornos,523,2018-50-21 09:50:06
Deporte,8556,2018-50-21 09:50:06
Musica,9661,2018-50-23 09:50:06
Deporte,3897,2018-50-23 09:50:06
Comida,5297,2018-50-21 09:50:06
Adornos,8544,2018-50-24 09:50:06
Comida,3119,2018-50-23 09:50:06
Comida,3770,2018-50-22 09:50:06
Adornos,5321,2018-50-21 09:50:06
Musica,4238,2018-50-24 09:50:06
Adornos,1856,2018-50-21 09:50:06
Adornos,7332,2018-50-23 09:50:06
Comida,3030,2018-50-25 09:50:06
Adornos,8976,2018-50-24 09:50:06
Adornos,248,2018-50-25 09:50:06
Adornos,7802,2019-50-25 09:50:06
Comida,4029,2018-50-23 09:50:06
Deporte,6509,2018-50-25 09:50:06
Adornos,7223,2018-50-23 09:50:06
Deporte,3542,2018-50-24 09:50:06
Musica,3800,2019-50-25 09:50:06
Musica,172,2018-50-23 09:50:06
Adornos,8212,2018-50-23 09:50:06
Comida,1454,2018-50-24 09:50:06
Adornos,1410,2018-50-21 09:50:06
Deporte,9613,2018-50-25 09:50:06
Deporte,1173,2018-50-24 09:50:06
Musica,8204,2018-50-23 09:50:06
Adornos,9361,2018-50-22 09:50:06
Musica,5317,2018-50-18 09:50:06
Comida,3675,2018-50-22 09:50:06
Adornos,9464,2018-50-22 09:50:06
Musica,5631,2018-50-21 09:50:06
Musica,2011,2018-50-24 09:50:06
Adornos,5052,2018-50-23 09:50:06
Musica,2227,2018-50-25 09:50:06
Comida,3026,2018-50-22 09:50:06
Comida,7662,2018-50-23 09:50:06
Adornos,3408,2018-50-18 09:50:06
Musica,4389,2019-50-25 09:50:06
Adornos,1166,2018-50-22 09:50:06
Musica,7474,2018-50-24 09:50:06
Musica,7076,2018-50-24 09:50:06
